"Rule","Contrast","TWAS_List","Overlap_Count","DE_Count","TWAS_Count","P_Value","Odds_Ratio","Genes"
"Rule4","PD_vs_CTRL","ChatGPT",12,3189,46,0.0564186066549407,1.84183652546914,"ZRANB3; NDUFAF2; CD38; IGSF9B; GALC; LRRC37A2; CDKL2; CLASP2; FBXL19; PCGF3; ARHGAP27; GAK"
"Rule2","Rule_vs_Rest","ChatGPT",4,970,46,0.187165358198255,1.85242696365387,"WNT3; IGSF9B; PCGF3; GAK"
"Rule2","PD_vs_CTRL","ChatGPT",3,715,46,0.230681330205583,1.86617224280701,"DGKQ; GAK; WNT3"
"Rule2","PD_vs_CTRL","Gemini",3,715,50,0.269712337554902,1.7069326430372,"GAK; FMNL1; FASN"
"Rule2","Rule_vs_Rest","Gemini",3,970,50,0.446114971999818,1.24001068294493,"ABCB9; FMNL1; GAK"
"Rule4","PD_vs_CTRL","Gemini",7,3189,50,0.715064554951189,0.847777120392029,"CD38; FMNL1; FASN; LRRC37A2; ABCB9; HIP1R; GAK"
"Rule4","Rule_vs_Rest","Gemini",2,1430,50,0.884990980560287,0.534678422584564,"STX4; NRBP1"
"Rule1","PD_vs_CTRL","ChatGPT",0,6,46,1,0,""
"Rule1","PD_vs_CTRL","Gemini",0,6,50,1,0,""
"Rule1","Rule_vs_Rest","ChatGPT",0,87,46,1,0,""
"Rule1","Rule_vs_Rest","Gemini",0,87,50,1,0,""
"Rule4","Rule_vs_Rest","ChatGPT",0,1430,46,1,0,""
